DP Label,Cat Label,Desc,,,,,,,,
0,0,The Abstract Factory pattern provides an interface for creating families of related or dependent objects without specifying their concrete classes.,,,,,,,,
0,0,"It allows for the creation of objects that are part of a specific family or group, ensuring that the objects created are compatible and cohesive.",,,,,,,,
0,0,Use when you want to provide an interface for creating families of related objects without specifying their concrete classes.,,,,,,,,
0,0,Provides an interface for creating families of related or dependent objects without specifying their concrete classes.,,,,,,,,
0,0,"Use when you want to create objects that are part of a specific family or group, ensuring that the objects created are compatible and cohesive.",,,,,,,,
1,0,Builder,,,,,,,,
1,0,Creational,,,,,,,,
1,0,Separate the construction of a complex object from its representation so that the same construction process can create different representations.,,,,,,,,
1,0,"A reader for the RTF (Rich Text Format) document exchange format should be able to convert RTF to many text formats. The reader might convert RTF documents into plain ASCII text or into a text widget that can be edited interactively. The problem, however, is that the number of possible conversions is open-ended. So it should be easy to add a new conversion without modifying the reader. A solution is to configure the RTFReader class with a TextConverter object that converts RTF to another textual representation. As the RTFReader parses the RTF document, it uses the TextConverter to perform the conversion. Whenever the RTFReader recognizes an RTF token (either plain text or an RTF control word), it issues a request to the TextConverter to convert the token. TextConverter objects are responsible both for performing the data conversion and for representing the token in a particular format. Subclasses of TextConverter specialize in different conversions and formats. For example, an ASCIIConverter ignores requests to convert anything except plain text. A TeXConverter, on the other hand, will implement operations for all requests in order to produce a TeX representation that captures all the stylistic information in the text. A TextWidgetConverter will produce a complex user interface object that lets the user see and edit the text. Each kind of converter class takes the mechanism for creating and assembling a
complex object and puts it behind an abstract interface. The converter is separate
from the reader, which is responsible for parsing an RTF document.
The Builder pattern captures all these relationships. Each converter class is
called a builder in the pattern, and the reader is called the director. Applied
to this example, the Builder pattern separates the algorithm for interpreting
a textual format (that is, the parser for RTF documents) from how a converted
format gets created and represented. This lets us reuse the RTFReader's parsing
algorithm to create different text representations from RTF documents—just
configure the RTFReader with different subclasses of TextConverter. ",,,,,,,,
1,0,the algorithm for creating a complex object should be independent of the parts that make up the object and how they're assembled. · the construction process must allow different representations for the object that's constructed.,,,,,,,,
1,0,"Builder (TextConverter) o specifies an abstract interface for creating parts of a Product object. · ConcreteBuilder (ASCIIConverter, TeXConverter, TextWidgetConverter) o constructs and assembles parts of the product by implementing the Builder interface. o defines and keeps track of the representation it creates. o provides an interface for retrieving the product (e.g., GetASCIIText, GetTextWidget). · Director (RTFReader) o constructs an object using the Builder interface. · Product (ASCIIText, TeXText, TextWidget) o represents the complex object under construction. ConcreteBuilder builds the product's internal representation and defines the process by which it's assembled. o includes classes that define the constituent parts, including interfaces for assembling the parts into the final result.",,,,,,,,
1,0,The client creates the Director object and configures it with the desired Builder object. · Director notifies the builder whenever a part of the product should be built. · Builder handles requests from the director and adds parts to the product. · The client retrieves the product from the builder.,,,,,,,,
1,0,"The RTF converter application is from ET++. Its text building block uses
a builder to process text stored in the RTF format.
Builder is a common pattern in Smalltalk-80:
· The Parser class in the compiler subsystem is a Director that takes a
ProgramNodeBuilder object as an argument. A Parser object notifies its
ProgramNodeBuilder object each time it recognizes a syntactic construct.
When the parser is done, it asks the builder for the parse tree it built
and returns it to the client.· ClassBuilder is a builder that Classes use to create subclasses for
themselves. In this case a Class is both the Director and the Product.
· ByteCodeStream is a builder that creates a compiled method as a byte array.
ByteCodeStream is a nonstandard use of the Builder pattern, because the
complex object it builds is encoded as a byte array, not as a normal Smalltalk
object. But the interface to ByteCodeStream is typical of a builder, and
it would be easy to replace ByteCodeStream with a different class that
represented programs as a composite object.
The Service Configurator framework from the Adaptive Communications Environment
uses a builder to construct network service components that are linked into a
server at run-time. The components are described with a configuration
language that's parsed by an LALR(1) parser. The semantic actions of the parser
perform operations on the builder that add information to the service component.
In this case, the parser is the Director. ",,,,,,,,
1,0,"Use when you want to construct complex objects step by step, providing a flexible approach to object creation.",,,,,,,,
1,0,"The Builder pattern separates the construction of a complex object from its representation, allowing the same construction process to create different representations.",,,,,,,,
1,0,"It provides a step-by-step approach to create objects, allowing for the creation of complex objects with varying configurations.",,,,,,,,
1,0,Use when you want to separate the construction of a complex object from its representation and have a step-by-step approach to create objects.,,,,,,,,
1,0,"Separates the construction of a complex object from its representation, allowing the same construction process to create different representations.",,,,,,,,
1,0,"Use when you want to create complex objects step by step, providing a flexible approach to object creation.",,,,,,,,
2,0,Factory Method,,,,,,,,
2,0,Creational,,,,,,,,
2,0,"Define an interface for creating an object, but let subclasses decide which class to instantiate. Factory Method lets a class defer instantiation to subclasses.",,,,,,,,
2,0,Virtual Constructor,,,,,,,,
2,0,"Frameworks use abstract classes to define and maintain relationships between
objects. A framework is often responsible for creating these objects as well.
Consider a framework for applications that can present multiple documents to the
user. Two key abstractions in this framework are the classes Application and
Document. Both classes are abstract, and clients have to subclass them to realize
their application-specific implementations. To create a drawing application, for
example, we define the classes DrawingApplication and DrawingDocument. The
Application class is responsible for managing Documents and will create them as
required—when the user selects Open or New from a menu, for example.
Because the particular Document subclass to instantiate is application-specific,
the Application class can't predict the subclass of Document to instantiate—the
Application class only knows when a new document should be created, not what kind
of Document to create. This creates a dilemma: The framework must instantiate
classes, but it only knows about abstract classes, which it cannot instantiate.
The Factory Method pattern offers a solution. It encapsulates the knowledge of
which Document subclass to create and moves this knowledge out of the framework. Application subclasses redefine an abstract CreateDocument operation on
Application to return the appropriate Document subclass. Once an Application
subclass is instantiated, it can then instantiate application-specific Documents
without knowing their class. We call CreateDocument a factory method because it's
responsible for ""manufacturing"" an object. ",,,,,,,,
2,0,"· a class can't anticipate the class of objects it must create.
· a class wants its subclasses to specify the objects it creates.
· classes delegate responsibility to one of several helper subclasses, and
you want to localize the knowledge of which helper subclass is the delegate.",,,,,,,,
2,0,"· Product (Document)
o defines the interface of objects the factory method creates.
· ConcreteProduct (MyDocument)
o implements the Product interface.
· Creator (Application)
o declares the factory method, which returns an object of type Product.
Creator may also define a default implementation of the factory
method that returns a default ConcreteProduct object.
o may call the factory method to create a Product object.
· ConcreteCreator (MyApplication)
o overrides the factory method to return an instance of a
ConcreteProduct. ",,,,,,,,
2,0,Creator relies on its subclasses to define the factory method so that it returns an instance of the appropriate ConcreteProduct.,,,,,,,,
2,0,"Factory methods pervade toolkits and frameworks. The preceding document example
is a typical use in MacApp and ET++. The manipulator example is from Unidraw.
Class View in the Smalltalk-80 Model/View/Controller framework has a method
defaultController that creates a controller, and this might appear to be a factory
method. But subclasses of View specify the class of their default
controller by defining defaultControllerClass, which returns the class from which
defaultController creates instances. So defaultControllerClass is the real
factory method, that is, the method that subclasses should override.
A more esoteric example in Smalltalk-80 is the factory method parserClass defined
by Behavior (a superclass of all objects representing classes). This enables a
class to use a customized parser for its source code. For example, a client can
define a class SQLParser to analyze the source code of a class with embedded SQL
statements. The Behavior class implements parserClass to return the standard
Smalltalk Parser class. A class that includes embedded SQL statements overrides
this method (as a class method) and returns the SQLParser class.
The Orbix ORB system from IONA Technologies uses Factory Method to generate
an appropriate type of proxy) when an object requests a reference
to a remote object. Factory Method makes it easy to replace the default proxy
with one that uses client-side caching, for example. ",,,,,,,,
2,0,"Use when you want to delegate the object creation to subclasses, allowing flexibility in choosing the concrete class.",,,,,,,,
2,0,"Defines an interface for creating objects, but lets subclasses decide which class to instantiate.",,,,,,,,
2,0,"The Factory Method pattern provides an interface for creating objects, but lets subclasses decide which class to instantiate.",,,,,,,,
2,0,"It allows for the creation of objects without specifying the exact class, promoting loose coupling and flexibility in object creation.
",,,,,,,,
2,0,"Use when you want to provide an interface for creating objects, but let subclasses decide which class to instantiate.",,,,,,,,
2,0,"Provides an interface for creating objects, but lets subclasses decide which class to instantiate.",,,,,,,,
2,0,"Use when you want to provide a common interface for creating objects, but allow subclasses to determine the concrete class to instantiate.",,,,,,,,
3,0,Prototype,,,,,,,,
3,0,Creational,,,,,,,,
3,0,"Specify the kinds of objects to create using a prototypical instance, and create new objects by copying this prototype.",,,,,,,,
3,0,"You could build an editor for music scores by customizing a general framework
for graphical editors and adding new objects that represent notes, rests, and
staves. The editor framework may have a palette of tools for adding these music
objects to the score. The palette would also include tools for selecting, moving,
and otherwise manipulating music objects. Users will click on the quarter-note
tool and use it to add quarter notes to the score. Or they can use the move tool
to move a note up or down on the staff, thereby changing its pitch.
Let's assume the framework provides an abstract Graphic class for graphical
components, like notes and staves. Moreover, it'll provide an abstract Tool class
for defining tools like those in the palette. The framework also predefines a
GraphicTool subclass for tools that create instances of graphical objects and
add them to the document.
But GraphicTool presents a problem to the framework designer. The classes for
notes and staves are specific to our application, but the GraphicTool class belongs
to the framework. GraphicTool doesn't know how to create instances of our music
classes to add to the score. We could subclass GraphicTool for each kind of music
object, but that would produce lots of subclasses that differ only in the kind
of music object they instantiate. We know object composition is a flexible
alternative to subclassing. The question is, how can the framework use it to
parameterize instances of GraphicTool by the class of Graphic they're supposed
to create?
The solution lies in making GraphicTool create a new Graphic by copying or ""cloning""
an instance of a Graphic subclass. We call this instance a prototype. GraphicTool
is parameterized by the prototype it should clone and add to the document. If
all Graphic subclasses support a Clone operation, then the GraphicTool can clone
any kind of Graphic.
So in our music editor, each tool for creating a music object is an instance of
GraphicTool that's initialized with a different prototype. Each GraphicTool instance will produce a music object by cloning its prototype and adding the clone
to the score.  We can use the Prototype pattern to reduce the number of classes even further.
We have separate classes for whole notes and half notes, but that's probably
unnecessary. Instead they could be instances of the same class initialized with
different bitmaps and durations. A tool for creating whole notes becomes just
a GraphicTool whose prototype is a MusicalNote initialized to be a whole note.
This can reduce the number of classes in the system dramatically. It also makes
it easier to add a new kind of note to the music editor. ",,,,,,,,
3,0,"Use the Prototype pattern when a system should be independent of how its products
are created, composed, and represented; and
· when the classes to instantiate are specified at run-time, for example,
by dynamic loading; or
· to avoid building a class hierarchy of factories that parallels the class
hierarchy of products; or
· when instances of a class can have one of only a few different combinations
of state. It may be more convenient to install a corresponding number of
prototypes and clone them rather than instantiating the class manually,
each time with the appropriate state. ",,,,,,,,
3,0,"· Prototype (Graphic)
o declares an interface for cloning itself.
· ConcretePrototype (Staff, WholeNote, HalfNote)
o implements an operation for cloning itself.
· Client (GraphicTool)
o creates a new object by asking a prototype to clone itself. ",,,,,,,,
3,0,A client asks a prototype to clone itself.,,,,,,,,
3,0,"Perhaps the first example of the Prototype pattern was in Ivan Sutherland's
Sketchpad system. The first widely known application of the pattern in
an object-oriented language was in ThingLab, where users could form a composite object and then promote it to a prototype by installing it in a library of reusable
objects. Goldberg and Robson mention prototypes as a pattern, but
Coplien gives a much more complete description. He describes idioms related
to the Prototype pattern for C++ and gives many examples and variations.
Etgdb is a debugger front-end based on ET++ that provides a point-and-click
interface to different line-oriented debuggers. Each debugger has a corresponding
DebuggerAdaptor subclass. For example, GdbAdaptor adapts etgdb to the command
syntax of GNU gdb, while SunDbxAdaptor adapts etgdb to Sun's dbx debugger. Etgdb
does not have a set of DebuggerAdaptor classes hard-coded into it. Instead, it
reads the name of the adaptor to use from an environment variable, looks for a
prototype with the specified name in a global table, and then clones the prototype.
New debuggers can be added to etgdb by linking it with the DebuggerAdaptor that
works for that debugger.
The ""interaction technique library"" in Mode Composer stores prototypes of objects
that support various interaction techniques. Any interaction technique
created by the Mode Composer can be used as a prototype by placing it in this
library. The Prototype pattern lets Mode Composer support an unlimited set of
interaction techniques.
The music editor example discussed earlier is based on the Unidraw drawing
framework. ",,,,,,,,
3,0,"Use when you want to create new objects by copying or cloning existing objects, avoiding the cost of creating objects from scratch.",,,,,,,,
3,0,The Prototype pattern allows for the creation of new objects by cloning or copying existing objects.,,,,,,,,
3,0,"It is useful when creating new objects is costly or complex, and you want to create new instances by copying existing objects.",,,,,,,,
3,0,"Use when creating new objects is costly or complex, and you want to create new instances by cloning or copying existing objects.",,,,,,,,
3,0,Allows for the creation of new objects by cloning or copying existing objects.,,,,,,,,
3,0,"Use when creating new objects is costly or complex, and you want to create new instances by copying existing objects.",,,,,,,,
4,0,Singleton,,,,,,,,
4,0,Creational,,,,,,,,
4,0,"Ensure a class only has one instance, and provide a global point of access to it.",,,,,,,,
4,0,"It's important for some classes to have exactly one instance. Although there can be many printers in a system, there should be only one printer spooler. There should be only one file system and one window manager. A digital filter will have one A/D converter. An accounting system will be dedicated to serving one company. How do we ensure that a class has only one instance and that the instance is easily accessible? A global variable makes an object accessible, but it doesn't keep you from instantiating multiple objects. A better solution is to make the class itself responsible for keeping track of its sole instance. The class can ensure that no other instance can be created (by intercepting requests to create new objects), and it can provide a way to access the instance. This is the Singleton pattern.",,,,,,,,
4,0,"there must be exactly one instance of a class, and it must be accessible to clients from a well-known access point. · when the sole instance should be extensible by subclassing, and clients should be able to use an extended instance without modifying their code.",,,,,,,,
4,0,"· Singleton o defines an Instance operation that lets clients access its unique instance. Instance is a class operation (that is, a class method in Smalltalk and a static member function in C++). o may be responsible for creating its own unique instance.",,,,,,,,
4,0,Clients access a Singleton instance solely through Singleton's Instance operation,,,,,,,,
4,0,"An example of the Singleton pattern in Smalltalk-80 is the set of changes
to the code, which is ChangeSet current. A more subtle example is the relationship
between classes and their metaclasses. A metaclass is the class of a class, and
each metaclass has one instance. Metaclasses do not have names (except indirectly through their sole instance), but they keep track of their sole instance and will
not normally create another.
The InterViews user interface toolkit uses the Singleton pattern to access
the unique instance of its Session and WidgetKit classes, among others. Session
defines the application's main event dispatch loop, stores the user's database
of stylistic preferences, and manages connections to one or more physical displays.
WidgetKit is an Abstract Factory (99) for defining the look and feel of user
interface widgets. The WidgetKit::instance() operation determines the particular
WidgetKit subclass that's instantiated based on an environment variable that
Session defines. A similar operation on Session determines whether monochrome
or color displays are supported and configures the singleton Session instance
accordingly. ",,,,,,,,
4,0,Use when you want to ensure only one instance of a class is created and provide a global access point to it.,,,,,,,,
4,0,Ensures a class has only one instance and provides a global point of access to it.,,,,,,,,
4,0,The Singleton pattern ensures that only one instance of a class is created and provides a global point of access to it.,,,,,,,,
4,0,It is useful when you want to restrict object creation to a single instance and ensure that all clients access the same instance.,,,,,,,,
4,0,Use when you want to restrict object creation to a single instance and provide a global point of access to that instance.,,,,,,,,
4,0,Ensures that only one instance of a class is created and provides a global access point to it.,,,,,,,,
4,0,Use when you want to restrict object creation to a single instance and ensure that all clients access the same instance.,,,,,,,,
5,1,Adapter,,,,,,,,
5,1,Structural,,,,,,,,
5,1,Convert the interface of a class into another interface clients expect. Adapter lets classes work together that couldn't otherwise because of incompatible interfaces.,,,,,,,,
5,1,Wrapper,,,,,,,,
5,1,"Sometimes a toolkit class that's designed for reuse isn't reusable only because its interface doesn't match the domain-specific interface an application requires. Consider for example a drawing editor that lets users draw and arrange graphical elements (lines, polygons, text, etc.) into pictures and diagrams. The drawing editor's key abstraction is the graphical object, which has an editable shape and can draw itself. The interface for graphical objects is defined by an abstract class called Shape. The editor defines a subclass of Shape for each kind of graphical object: a LineShape class for lines, a PolygonShape class for polygons, and so forth. Classes for elementary geometric shapes like LineShape and PolygonShape are rather easy to implement, because their drawing and editing capabilities are inherently limited. But a TextShape subclass that can display and edit text is considerably more difficult to implement, since even basic text editing involves complicated screen update and buffer management. Meanwhile, an off-the-shelf user interface toolkit might already provide a sophisticated TextView class for displaying and editing text. Ideally we'd like to reuse TextView to implement TextShape, but the toolkit wasn't designed with Shape classes in mind. So we can't use TextView and Shape objects interchangeably. How can existing and unrelated classes like TextView work in an application that expects classes with a different and incompatible interface? We could change the TextView class so that it conforms to the Shape interface, but that isn't an option unless we have the toolkit's source code. Even if we did, it wouldn't make sense to change TextView; the toolkit shouldn't have to adopt domain-specific interfaces just to make one application work. Instead, we could define TextShape so that it adapts the TextView interface to
Shape's. We can do this in one of two ways: (1) by inheriting Shape's interface
and TextView's implementation or (2) by composing a TextView instance within a
TextShape and implementing TextShape in terms of TextView's interface. These two
approaches correspond to the class and object versions of the Adapter pattern.
We call TextShape an adapter.  This diagram illustrates the object adapter case. It shows how BoundingBox requests,
declared in class Shape, are converted to GetExtent requests defined in TextView.
Since TextShape adapts TextView to the Shape interface, the drawing editor can
reuse the otherwise incompatible TextView class.
Often the adapter is responsible for functionality the adapted class doesn't
provide. The diagram shows how an adapter can fulfill such responsibilities. The
user should be able to ""drag"" every Shape object to a new location interactively,
but TextView isn't designed to do that. TextShape can add this missing
functionality by implementing Shape's CreateManipulator operation, which returns
an instance of the appropriate Manipulator subclass.
Manipulator is an abstract class for objects that know how to animate a Shape
in response to user input, like dragging the shape to a new location. There are
subclasses of Manipulator for different shapes; TextManipulator, for example,
is the corresponding subclass for TextShape. By returning a TextManipulator
instance, TextShape adds the functionality that TextView lacks but Shape requires. ",,,,,,,,
5,1,"you want to use an existing class, and its interface does not match the one you need.you want to create a reusable class that cooperates with unrelated or
unforeseen classes, that is, classes that don't necessarily have compatible
interfaces.
· (object adapter only) you need to use several existing subclasses, but it's
impractical to adapt their interface by subclassing every one. An object
adapter can adapt the interface of its parent class.",,,,,,,,
5,1,"· Target (Shape) o defines the domain-specific interface that Client uses. · Client (DrawingEditor) o collaborates with objects conforming to the Target interface. · Adaptee (TextView) o defines an existing interface that needs adapting.
· Adapter (TextShape)
o adapts the interface of Adaptee to the Target interface. ",,,,,,,,
5,1,"Clients call operations on an Adapter instance. In turn, the adapter calls Adaptee operations that carry out the request.",,,,,,,,
5,1,"The Motivation example comes from ET++Draw, a drawing application based on ET++. ET++Draw reuses the ET++ classes for text editing by using a TextShape
adapter class.
InterViews 2.6 defines an Interactor abstract class for user interface elements
such as scroll bars, buttons, and menus. It also defines a Graphic abstract
class for structured graphic objects such as lines, circles, polygons, and splines.
Both Interactors and Graphics have graphical appearances, but they have different
interfaces and implementations (they share no common parent class) and are
therefore incompatible—you can't embed a structured graphic object in, say, a
dialog box directly.
Instead, InterViews 2.6 defines an object adapter called GraphicBlock, a subclass
of Interactor that contains a Graphic instance. The GraphicBlock adapts the
interface of the Graphic class to that of Interactor. The GraphicBlock lets a
Graphic instance be displayed, scrolled, and zoomed within an Interactor
structure.
Pluggable adapters are common in ObjectWorks\Smalltalk. Standard
Smalltalk defines a ValueModel class for views that display a single value.
ValueModel defines a value, value: interface for accessing the value. These are
abstract methods. Application writers access the value with more domain-specific
names like width and width:, but they shouldn't have to subclass ValueModel to
adapt such application-specific names to the ValueModel interface.
Instead, ObjectWorks\Smalltalk includes a subclass of ValueModel called
PluggableAdaptor. A PluggableAdaptor object adapts other objects to the ValueModel
interface (value, value:). It can be parameterized with blocks for getting and
setting the desired value. PluggableAdaptor uses these blocks internally to
implement the value, value: interface. PluggableAdaptor also lets you pass in
the selector names (e.g., width, width:) directly for syntactic convenience. It
converts these selectors into the corresponding blocks automatically.
Another example from ObjectWorks\Smalltalk is the TableAdaptor class. A
TableAdaptor can adapt a sequence of objects to a tabular presentation. The table
displays one object per row. The client parameterizes TableAdaptor with the set
of messages that a table can use to get the column values from an object.
Some classes in NeXT's AppKit use delegate objects to perform interface
adaptation. An example is the NXBrowser class that can display hierarchical lists
of data. NXBrowser uses a delegate object for accessing and adapting the data.
Meyer's ""Marriage of Convenience"" is a form of class adapter. Meyer
describes how a FixedStack class adapts the implementation of an Array class to
the interface of a Stack class. The result is a stack containing a fixed number
of entries.",,,,,,,,
5,1,Use when you want to convert the interface of a class into another interface that clients expect.,,,,,,,,
5,1,"Converts the interface of a class into another interface that clients expect, allowing classes with incompatible interfaces to work together.",,,,,,,,
5,1,"The Adapter pattern converts the interface of a class into another interface that clients expect, allowing classes with incompatible interfaces to work together.",,,,,,,,
5,1,"It acts as a bridge between two incompatible interfaces, enabling them to collaborate without needing to modify their existing code.",,,,,,,,
5,1,Use when you have classes with incompatible interfaces and need to make them work together by converting one interface into another.,,,,,,,,
5,1,Converts the interface of a class into another interface that clients expect.,,,,,,,,
5,1,"Use when you have classes with incompatible interfaces and need to make them work together by converting one interface into another.
",,,,,,,,
6,1,Bridge,,,,,,,,
6,1,Structural,,,,,,,,
6,1,"Decouple an abstraction from its implementation so that the two can vary
independently. ",,,,,,,,
6,1,Handle/Body,,,,,,,,
6,1,"When an abstraction can have one of several possible implementations, the usual
way to accommodate them is to use inheritance. An abstract class defines the
interface to the abstraction, and concrete subclasses implement it in different
ways. But this approach isn't always flexible enough. Inheritance binds an
implementation to the abstraction permanently, which makes it difficult to modify,
extend, and reuse abstractions and implementations independently.
Consider the implementation of a portable Window abstraction in a user interface
toolkit. This abstraction should enable us to write applications that work on
both the X Window System and IBM's Presentation Manager (PM), for example. Using
inheritance, we could define an abstract class Window and subclasses XWindow and
PMWindow that implement the Window interface for the different platforms. But
this approach has two drawbacks:
1. It's inconvenient to extend the Window abstraction to cover different kinds
of windows or new platforms. Imagine an IconWindow subclass of Window that
specializes the Window abstraction for icons. To support IconWindows for
both platforms, we have to implement two new classes, XIconWindow and
PMIconWindow. Worse, we'll have to define two classes for every kind of
window. Supporting a third platform requires yet another new Window subclass
for every kind of window. 
2. It makes client code platform-dependent. Whenever a client creates a window,
it instantiates a concrete class that has a specific implementation. For
example, creating an XWindow object binds the Window abstraction to the
X Window implementation, which makes the client code dependent on the X
Window implementation. This, in turn, makes it harder to port the client
code to other platforms.
Clients should be able to create a window without committing to a concrete
implementation. Only the window implementation should depend on the
platform on which the application runs. Therefore client code should
instantiate windows without mentioning specific platforms.
The Bridge pattern addresses these problems by putting the Window abstraction
and its implementation in separate class hierarchies. There is one class hierarchy
for window interfaces (Window, IconWindow, TransientWindow) and a separate
hierarchy for platform-specific window implementations, with WindowImp as its
root. The XWindowImp subclass, for example, provides an implementation based on
the X Window System. 
All operations on Window subclasses are implemented in terms of abstract operations
from the WindowImp interface. This decouples the window abstractions from the
various platform-specific implementations. We refer to the relationship between
Window and WindowImp as a bridge, because it bridges the abstraction and its
implementation, letting them vary independently.",,,,,,,,
6,1,"· you want to avoid a permanent binding between an abstraction and its implementation. This might be the case, for example, when the implementation must be selected or switched at run-time. · both the abstractions and their implementations should be extensible by subclassing. In this case, the Bridge pattern lets you combine the different abstractions and implementations and extend them independently. · changes in the implementation of an abstraction should have no impact on clients; that is, their code should not have to be recompiled. · (C++) you want to hide the implementation of an abstraction completely from clients. In C++ the representation of a class is visible in the class interface. · you have a proliferation of classes as shown earlier in the first Motivation diagram. Such a class hierarchy indicates the need for splitting an object into two parts. Rumbaugh uses the term ""nested generalizations""
to refer to such class hierarchies.
· you want to share an implementation among multiple objects (perhaps using
reference counting), and this fact should be hidden from the client. A simple
example is Coplien's String class, in which multiple objects can
share the same string representation (StringRep).",,,,,,,,
6,1,"· Abstraction (Window)
o defines the abstraction's interface.
o maintains a reference to an object of type Implementor.
· RefinedAbstraction (IconWindow)
o Extends the interface defined by Abstraction.
· Implementor (WindowImp)
o defines the interface for implementation classes. This interface
doesn't have to correspond exactly to Abstraction's interface; in
fact the two interfaces can be quite different. Typically the
Implementor interface provides only primitive operations, and
Abstraction defines higher-level operations based on these
primitives.
· ConcreteImplementor (XWindowImp, PMWindowImp)
o implements the Implementor interface and defines its concrete
implementation. ",,,,,,,,
6,1,Abstraction forwards client requests to its Implementor object.,,,,,,,,
